SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
531921,AGAR IND COR,T ,Q,110.25,110.25,101.60,107.55,106.25,105.25,94,4191,442674.00,
519281,AGRO DUTCH I,B ,Q,9.05,9.28,9.05,9.15,9.15,9.01,31,4980,45719.00,
500215,AGRO TECH FO,B ,Q,110.45,115.00,108.80,110.05,109.20,108.15,172,7098,783903.00,
524448,AHLCON PAREN,B ,Q,21.00,21.00,21.00,21.00,21.00,21.50,1,400,8400.00,
532811,AHLUWALIA CO,B ,Q,51.90,51.90,48.50,49.00,49.00,50.00,92,17896,894909.00,
513335,AHMED.FORG  ,B ,Q,42.95,44.00,41.55,42.00,41.85,42.10,54,4459,188232.00,
532806,AI CHAMPDNY ,B ,Q,16.50,17.40,16.50,17.40,17.40,17.00,8,466,7914.00,
532683,AIAENGINEER ,B ,Q,171.10,178.40,170.00,172.25,172.25,170.95,586,60136,10537257.00,
524288,AIMCO PESTI.,B ,Q,5.39,5.43,4.95,5.43,5.43,5.18,10,1035,5583.00,
532975,AISHWARYA TE,T ,Q,13.60,14.00,12.93,13.55,13.55,13.51,73,12100,163637.00,
532331,AJANTA PHARM,B ,Q,62.60,65.00,62.00,63.20,63.20,63.10,203,31969,2037647.00,
511692,AJCON GLOBAL,B ,Q,7.49,7.49,7.49,7.49,7.49,7.50,1,1,7.00,
530713,AJEL        ,B ,Q,29.05,32.00,29.05,31.65,32.00,30.50,24,12300,383230.00,
